,radial_op,radial_up,radial_down,flashboard,boat_lock
2019-06-16 00:01:00,1.0,1.0,1.0,1.0,0.0
2019-06-17 00:01:00,-10.0,0.0,1.0,0.0,1.0
2019-08-11 00:01:00,-10.0,0.0,1.0,0.0,1.0
2019-08-12 00:01:00,1.0,1.0,1.0,1.0,0.0
2019-10-01 00:01:00,1.0,1.0,1.0,1.0,0.0
2019-10-02 00:01:00,1.0,1.0,1.0,0.0,1.0
2019-12-14 00:01:00,1.0,1.0,1.0,0.0,1.0
2019-12-15 00:01:00,-10.0,0.0,1.0,0.0,1.0
2019-12-19 00:01:00,-10.0,0.0,1.0,0.0,1.0
2019-12-20 00:01:00,1.0,1.0,1.0,0.0,1.0
2020-05-23 00:01:00,1.0,1.0,1.0,0.0,1.0
2020-05-24 00:01:00,-10.0,0.0,1.0,0.0,1.0
2020-06-17 00:01:00,-10.0,0.0,1.0,0.0,1.0
2020-06-18 00:01:00,1.0,1.0,1.0,1.0,0.0
2020-06-29 00:01:00,1.0,1.0,1.0,1.0,0.0
2020-06-30 00:01:00,-10.0,0.0,1.0,0.0,1.0
2021-02-04 00:01:00,-10.0,0.0,1.0,0.0,1.0
2021-02-05 00:01:00,1.0,1.0,1.0,0.0,1.0
2021-02-09 00:01:00,1.0,1.0,1.0,0.0,1.0
2021-02-10 00:01:00,-10.0,0.0,1.0,0.0,1.0
2021-03-09 00:01:00,-10.0,0.0,1.0,0.0,1.0
2021-03-10 00:01:00,1.0,1.0,1.0,0.0,1.0
2021-06-03 00:01:00,1.0,1.0,1.0,0.0,1.0
2021-06-04 00:01:00,1.0,1.0,1.0,1.0,0.0
2021-06-24 00:01:00,1.0,1.0,1.0,1.0,0.0
2021-06-25 00:01:00,-10.0,0.0,1.0,0.0,1.0
2021-12-12 00:01:00,-10.0,0.0,1.0,0.0,1.0
2021-12-13 00:01:00,1.0,1.0,1.0,0.0,1.0
