,/HIST+GATE/MTZSL/RADIAL_OP//IR-DECADE/DWR-ESO/,/HIST+GATE/MTZSL/FLASHBOARD_OP//IR-DECADE/DWR-ESO/,/HIST+GATE/MTZSL/BOATLOCK_OP//IR-DECADE/DWR-ESO/
2004-03-18,-10.0,0.0,1.0
2004-03-19,1.0,0.0,1.0
2004-05-12,1.0,0.0,1.0
2004-05-13,1.0,1.0,0.0
2004-07-08,1.0,1.0,0.0
2004-07-09,-10.0,1.0,0.0
2004-07-10,-10.0,0.0,1.0
2004-07-22,-10.0,0.0,1.0
2004-07-23,1.0,0.0,1.0
2004-07-24,1.0,1.0,0.0
2004-08-20,1.0,1.0,0.0
2004-08-21,-10.0,1.0,0.0
2004-08-22,-10.0,0.0,1.0
2004-12-12,-10.0,0.0,1.0
2004-12-13,1.0,0.0,1.0
2005-05-19,1.0,0.0,1.0
2005-05-20,1.0,1.0,0.0
2005-09-07,1.0,1.0,0.0
2005-09-08,-10.0,1.0,0.0
2005-09-09,-10.0,0.0,1.0
2005-12-18,-10.0,0.0,1.0
2005-12-19,1.0,0.0,1.0
2005-12-26,1.0,0.0,1.0
2005-12-27,-10.0,0.0,1.0
2006-01-18,-10.0,0.0,1.0
2006-01-19,1.0,0.0,1.0
2006-01-20,1.0,1.0,0.0
2006-05-15,1.0,1.0,0.0
2006-05-16,-10.0,1.0,0.0
2006-05-17,-10.0,0.0,1.0
2006-05-20,-10.0,0.0,1.0
2006-05-21,1.0,0.0,1.0
2006-05-22,1.0,1.0,0.0
2006-05-27,1.0,1.0,0.0
2006-05-28,-10.0,1.0,0.0
2006-05-29,-10.0,0.0,1.0
2006-08-31,-10.0,0.0,1.0
2006-09-01,1.0,0.0,1.0
2006-09-02,1.0,1.0,0.0
2006-12-25,1.0,1.0,0.0
2006-12-26,-10.0,1.0,0.0
2006-12-27,-10.0,0.0,1.0
2007-01-24,-10.0,0.0,1.0
2007-01-25,1.0,0.0,1.0
2007-04-22,1.0,0.0,1.0
2007-04-23,1.0,1.0,0.0
2007-04-24,1.0,1.0,0.0
2007-04-25,-10.0,1.0,0.0
2007-04-26,-10.0,0.0,1.0
2007-08-05,-10.0,0.0,1.0
2007-08-06,1.0,0.0,1.0
2007-08-07,1.0,1.0,0.0
2007-09-16,1.0,1.0,0.0
2007-09-17,-10.0,1.0,0.0
2007-09-18,-10.0,0.0,1.0
2007-12-08,-10.0,0.0,1.0
2007-12-09,1.0,0.0,1.0
2008-02-16,1.0,0.0,1.0
2008-02-17,-10.0,0.0,1.0
2008-03-19,-10.0,0.0,1.0
2008-03-20,1.0,0.0,1.0
2008-04-29,1.0,0.0,1.0
2008-04-30,1.0,1.0,0.0
2008-05-15,1.0,1.0,0.0
2008-05-16,-10.0,1.0,0.0
2008-05-17,-10.0,0.0,1.0
2008-08-24,-10.0,0.0,1.0
2008-08-25,1.0,0.0,1.0
2008-08-26,1.0,1.0,0.0
2008-09-07,1.0,1.0,0.0
2008-09-08,-10.0,1.0,0.0
2008-09-09,-10.0,0.0,1.0
2008-09-15,-10.0,0.0,1.0
2008-09-16,1.0,0.0,1.0
2008-09-17,1.0,1.0,0.0
2008-09-21,1.0,1.0,0.0
2008-09-22,-10.0,1.0,0.0
2008-09-23,-10.0,0.0,1.0
2008-10-10,-10.0,0.0,1.0
2008-10-11,1.0,0.0,1.0
2008-10-28,1.0,0.0,1.0
2008-10-29,-10.0,0.0,1.0
2009-06-14,-10.0,0.0,1.0
2009-06-15,1.0,0.0,1.0
2009-06-16,1.0,1.0,0.0
2009-09-29,1.0,1.0,0.0
2009-09-30,-10.0,1.0,0.0
2009-10-01,-10.0,0.0,1.0
2009-11-11,-10.0,0.0,1.0
2009-11-12,1.0,0.0,1.0
2010-03-06,1.0,0.0,1.0
2010-03-07,-10.0,0.0,1.0
2010-03-26,-10.0,0.0,1.0
2010-03-27,1.0,0.0,1.0
2010-04-25,1.0,0.0,1.0
2010-04-26,1.0,1.0,0.0
2010-04-27,1.0,1.0,0.0
2010-04-28,-10.0,1.0,0.0
2010-04-29,-10.0,0.0,1.0
2010-05-26,-10.0,0.0,1.0
2010-05-27,1.0,0.0,1.0
2010-05-28,1.0,1.0,0.0
2010-07-13,1.0,1.0,0.0
2010-07-14,-10.0,1.0,0.0
2010-07-15,-10.0,0.0,1.0
2010-07-31,-10.0,0.0,1.0
2010-08-01,1.0,0.0,1.0
2010-08-02,1.0,1.0,0.0
2010-10-11,1.0,1.0,0.0
2010-10-12,1.0,0.0,1.0
2011-02-07,1.0,0.0,1.0
2011-02-08,-10.0,0.0,1.0
2011-03-01,-10.0,0.0,1.0
2011-03-02,1.0,0.0,1.0
2011-04-05,1.0,0.0,1.0
2011-04-06,-10.0,0.0,1.0
2011-07-10,-10.0,0.0,1.0
2011-07-11,1.0,0.0,1.0
2011-07-12,1.0,1.0,1.0
2011-10-20,1.0,1.0,1.0
2011-10-21,1.0,0.0,0.0
2011-10-24,1.0,0.0,0.0
2011-10-25,-10.0,0.0,0.0
2011-10-26,-10.0,0.0,1.0
2011-11-08,-10.0,0.0,1.0
2011-11-09,1.0,0.0,1.0
2011-11-10,1.0,0.0,0.0
2012-01-16,1.0,0.0,0.0
2012-01-17,-10.0,0.0,0.0
2012-01-18,-10.0,0.0,1.0
2012-03-14,-10.0,0.0,1.0
2012-03-15,1.0,0.0,1.0
2012-03-16,1.0,0.0,0.0
2012-04-30,1.0,0.0,0.0
2012-05-01,1.0,1.0,0.0
2012-07-25,1.0,1.0,0.0
2012-07-26,-10.0,1.0,0.0
2012-07-27,-10.0,0.0,1.0
2012-08-04,-10.0,0.0,1.0
2012-08-05,1.0,0.0,1.0
2012-08-06,1.0,1.0,0.0
2012-08-26,1.0,1.0,0.0
2012-08-27,-10.0,1.0,0.0
2012-08-28,-10.0,0.0,1.0
2012-09-09,-10.0,0.0,1.0
2012-09-10,1.0,0.0,1.0
2012-09-11,1.0,1.0,0.0
2012-09-16,1.0,1.0,0.0
2012-09-17,-10.0,1.0,0.0
2012-09-18,-10.0,0.0,1.0
2013-05-30,-10.0,0.0,1.0
2013-05-31,1.0,0.0,1.0
2013-06-01,1.0,1.0,0.0
2013-09-01,1.0,1.0,0.0
2013-09-02,-10.0,1.0,0.0
2013-09-03,-10.0,0.0,1.0
2015-01-30,-10.0,0.0,1.0
2015-01-31,1.0,0.0,1.0
2015-02-12,1.0,0.0,1.0
2015-02-13,-10.0,0.0,1.0
2015-02-14,-10.0,0.0,1.0
2015-02-15,1.0,0.0,1.0
2015-02-17,1.0,0.0,1.0
2015-02-18,-10.0,0.0,1.0
2015-05-21,-10.0,0.0,1.0
2015-05-22,1.0,0.0,1.0
2015-06-01,1.0,0.0,1.0
2015-06-02,1.0,1.0,0.0
2015-08-27,1.0,1.0,0.0
2015-08-28,1.0,0.0,1.0
2016-01-27,1.0,0.0,1.0
2016-01-28,-10.0,0.0,1.0
2016-03-31,-10.0,0.0,1.0
2016-04-01,1.0,0.0,1.0
2016-05-23,1.0,0.0,1.0
2016-05-24,1.0,1.0,0.0
2016-07-02,1.0,1.0,0.0
2016-07-03,-10.0,1.0,0.0
2016-07-04,-10.0,0.0,1.0
2016-08-09,-10.0,0.0,1.0
2016-08-10,1.0,0.0,1.0
2016-08-11,1.0,1.0,0.0
2016-09-07,1.0,1.0,0.0
2016-09-08,-10.0,1.0,0.0
2016-09-09,-10.0,0.0,1.0
2017-03-12,-10.0,0.0,1.0
2017-03-13,1.0,0.0,1.0
2017-05-11,1.0,0.0,1.0
2017-05-12,1.0,1.0,0.0
2017-10-06,1.0,1.0,0.0
2017-10-07,-10.0,1.0,0.0
2017-10-08,-10.0,0.0,1.0
2017-12-11,-10.0,0.0,1.0
2017-12-12,1.0,0.0,1.0
2018-05-07,1.0,0.0,1.0
2018-05-08,1.0,1.0,0.0
2018-07-26,1.0,1.0,0.0
2018-07-27,1.0,0.0,1.0
2018-12-22,1.0,0.0,1.0
2018-12-23,-10.0,0.0,1.0
2019-02-11,-10.0,0.0,1.0
2019-02-12,1.0,0.0,1.0
2019-02-19,1.0,0.0,1.0
2019-02-20,-10.0,0.0,1.0
2019-09-05,-10.0,0.0,1.0
2019-09-06,1.0,0.0,1.0
2019-09-07,1.0,1.0,0.0
2019-09-12,1.0,1.0,0.0
2019-09-13,-10.0,1.0,0.0
2019-09-14,-10.0,0.0,1.0
2020-02-20,-10.0,0.0,1.0
2020-02-21,1.0,0.0,1.0
2020-05-27,1.0,0.0,1.0
2020-05-28,1.0,0.0,0.0
2020-05-29,1.0,1.0,0.0
2020-09-07,1.0,1.0,0.0
2020-09-08,1.0,1.0,1.0
2020-09-09,1.0,0.0,1.0
2020-09-10,-10.0,0.0,1.0
2021-03-30,-10.0,0.0,1.0
2021-03-31,1.0,0.0,1.0
2021-04-19,1.0,0.0,1.0
2021-04-20,-10.0,0.0,1.0
2021-05-27,-10.0,0.0,1.0
2021-05-28,1.0,0.0,1.0
2021-06-02,1.0,0.0,1.0
2021-06-03,1.0,0.0,0.0
2021-06-04,1.0,1.0,0.0
2021-08-10,1.0,1.0,0.0
2021-08-11,-10.0,1.0,0.0
2021-08-12,-10.0,0.0,1.0
2021-10-06,-10.0,0.0,1.0
2021-10-07,1.0,0.0,1.0
2022-05-11,1.0,0.0,1.0
2022-05-12,-10.0,0.0,1.0
2022-10-19,-10.0,0.0,1.0
2022-10-20,1.0,0.0,1.0
2023-06-11,1.0,0.0,1.0
2023-06-12,1.0,1.0,0.0
